frames,episode,reward,loss,epsilon
0,0,nan,0,1
1000,1,-21,0,0.967543939
2000,2,-20.5,0,0.936151915
3000,3,-20.66666667,0,0.905789044
4000,4,-20.5,0,0.876421586
5000,5,-20.6,0,0.848016908
6000,6,-20.66666667,0,0.820543446
7000,8,-20.75,0,0.793970671
8000,9,-20.66666667,0,0.768269055
9000,10,-20.7,0,0.743410038
10000,11,-20.7,0.030807108,0.719365997
11000,12,-20.7,0.00025619,0.696110214
12000,13,-20.7,0.019899271,0.673616846
13000,15,-20.7,0.029540852,0.651860898
14000,16,-20.7,0.000146639,0.630818194
15000,17,-20.5,0.057411931,0.610465353
16000,18,-20.3,0.008293489,0.590779757
17000,19,-20.2,0.001017177,0.571739532
18000,20,-20,0.004726672,0.55332352
19000,21,-20,0.00160704,0.535511256
20000,22,-20.1,0.003850359,0.518282948
21000,24,-20.1,0.00275807,0.501619451
22000,25,-20.1,0.006798311,0.485502248
23000,26,-20,0.001400146,0.46991343
24000,27,-20.1,0.004162444,0.454835674
25000,28,-20.2,0.00099746,0.440252226
26000,29,-20.4,0.001069423,0.426146881
27000,31,-20.6,0.002049493,0.412503963
28000,32,-20.5,0.002568769,0.399308314
29000,33,-20.4,0.002085355,0.386545269
30000,34,-20.5,0.001285738,0.374200647
31000,35,-20.5,0.001401489,0.362260729
32000,36,-20.5,0.001245483,0.350712249
33000,37,-20.5,0.00440642,0.339542373
34000,38,-20.4,0.008500707,0.328738689
35000,39,-20.2,0.00176815,0.318289192
36000,40,-20,0.001981239,0.30818227
37000,41,-20,0.000740947,0.298406692
38000,42,-20,0.012216724,0.288951596
39000,43,-20.1,0.003414693,0.279806475
40000,44,-20.1,0.010067681,0.270961167
41000,46,-20.2,0.001177373,0.262405842
42000,47,-20.3,0.008136136,0.254130994
43000,48,-20.4,0.002567396,0.246127428
44000,49,-20.6,0.002632453,0.23838625
45000,50,-20.7,0.014252074,0.230898859
46000,51,-20.6,0.003708034,0.223656933
47000,52,-20.7,0.001391566,0.216652425
48000,53,-20.6,0.001033428,0.209877553
49000,54,-20.5,0.001369702,0.203324787
50000,55,-20.5,0.006032391,0.196986847
51000,56,-20.2,0.00095848,0.190856689
52000,57,-20.1,0.002720658,0.184927501
53000,59,-20.1,0.002630486,0.179192696
54000,60,-20.2,0.000573834,0.173645899
55000,61,-20.3,0.000868022,0.168280949
56000,62,-20.2,0.015329443,0.163091882
57000,63,-20.2,0.002661838,0.158072933
58000,64,-20.2,0.002734499,0.153218525
59000,65,-20.2,0.001821567,0.148523263
60000,66,-20.4,0.002122577,0.14398193
61000,67,-20.2,0.003432021,0.13958948
62000,68,-20.1,0.000894025,0.135341032
63000,69,-19.8,0.003316649,0.131231864
64000,70,-19.4,0.001351881,0.127257411
65000,71,-19.4,0.002000436,0.123413256
66000,72,-19.5,0.003445779,0.119695127
67000,73,-19.5,0.001157318,0.116098893
68000,73,-19.5,0.000921905,0.112620557
69000,74,-19.6,0.002731501,0.109256255
70000,76,-19.7,0.004386812,0.106002248
71000,77,-20,0.001618132,0.10285492
72000,78,-20.2,0.001280266,0.099810774
73000,80,-20.9,0.002283292,0.096866426
74000,80,-20.9,0.000666391,0.094018606
75000,81,-20.8,0.002383839,0.091264149
76000,82,-20.7,0.001894811,0.088599993
77000,82,-20.7,0.000993979,0.086023179
78000,83,-20.5,0.002113797,0.083530842
79000,84,-20.5,0.001102533,0.081120215
80000,85,-20.4,0.001269099,0.078788617
81000,85,-20.4,0.000931422,0.076533458
82000,86,-20.3,0.001751068,0.074352231
83000,87,-20.2,0.00698341,0.072242514
84000,87,-20.2,0.004618664,0.070201962
85000,88,-20.2,0.002948239,0.068228307
86000,89,-20.2,0.001834823,0.066319356
87000,89,-20.2,0.00184622,0.064472988
88000,90,-20.2,0.003489187,0.062687151
89000,91,-20.3,0.002603759,0.060959861
90000,92,-20.2,0.003712818,0.059289198
91000,92,-20.2,0.001372836,0.057673306
92000,93,-20.5,0.001584348,0.056110389
93000,94,-20.5,0.002727432,0.05459871
94000,95,-20.6,0.001447267,0.053136591
95000,96,-20.7,0.001504962,0.051722405
96000,97,-20.8,0.000838456,0.050354582
97000,98,-20.8,0.001456592,0.049031601
98000,98,-20.8,0.002283336,0.047751993
99000,98,-20.8,0.001453832,0.046514336
100000,99,-20.8,0.00298176,0.045317253
101000,99,-20.8,0.016882453,0.044159416
102000,100,-20.5,0.004832573,0.043039537
103000,101,-20.3,0.004661755,0.041956372
104000,101,-20.3,0.002890233,0.040908718
105000,102,-20.1,0.001215034,0.03989541
106000,102,-20.1,0.005577547,0.038915321
107000,103,-19.8,0.001665342,0.037967364
108000,103,-19.8,0.00320505,0.037050485
109000,104,-19.4,0.00210222,0.036163665
110000,104,-19.4,0.006735443,0.035305918
111000,104,-19.4,0.003361267,0.034476291
112000,105,-19.3,0.002005601,0.033673863
113000,105,-19.3,0.0013918,0.032897741
114000,106,-19.2,0.003473275,0.032147064
115000,106,-19.2,0.002230372,0.031420997
116000,107,-18.8,0.001553607,0.030718733
117000,107,-18.8,0.001400461,0.030039492
118000,108,-18.7,0.00175688,0.02938252
119000,108,-18.7,0.001575554,0.028747085
120000,109,-17.8,0.002393202,0.028132482
121000,110,-18.1,0.001251818,0.027538029
122000,111,-18.1,0.002709158,0.026963064
123000,111,-18.1,0.001924315,0.026406949
124000,112,-18.1,0.000892623,0.025869065
125000,112,-18.1,0.001608832,0.025348815
126000,112,-18.1,0.002362526,0.024845621
127000,113,-18,0.005011584,0.024358924
128000,113,-18,0.007264362,0.023888182
129000,113,-18,0.001462769,0.023432873
130000,114,-17.7,0.002311102,0.022992491
131000,114,-17.7,0.001858115,0.022566547
132000,115,-17.6,0.004518961,0.022154567
133000,115,-17.6,0.003031816,0.021756092
134000,115,-17.6,0.000998428,0.021370682
135000,116,-17,0.002168001,0.020997907
136000,116,-17,0.003073999,0.020637352
137000,117,-17.3,0.002485597,0.020288618
138000,117,-17.3,0.001598231,0.019951317
139000,117,-17.3,0.001176319,0.019625074
140000,118,-17.3,0.001309077,0.019309527
141000,118,-17.3,0.001164194,0.019004324
